data,fonte,quantidade,status
2023-12-07T00:00:00,A,544,ERRO
2023-12-21T00:00:00,A,534,ERRO
2023-12-30T00:00:00,A,457,ERRO
2023-12-14T00:00:00,A,2057,ERRO
2023-12-22T00:00:00,A,1995,OK
2023-12-15T00:00:00,A,5599,ERRO
2023-12-15T00:00:00,A,540,ERRO
2023-12-09T00:00:00,A,225,ERRO
2023-12-16T00:00:00,A,231,ERRO
2023-12-02T00:00:00,A,228,ERRO
2023-12-21T00:00:00,A,5744,ERRO
2023-12-23T00:00:00,A,244,ERRO
2023-12-22T00:00:00,A,1804,ERRO
2023-12-27T00:00:00,A,5578,ERRO
2023-12-20T00:00:00,A,6069,ERRO
2023-12-04T00:00:00,A,2785,OK
2023-12-27T00:00:00,A,1802,ERRO
2023-12-26T00:00:00,A,2447,OK
2023-12-12T00:00:00,A,7303,ERRO
2023-12-26T00:00:00,A,632,ERRO
2023-12-15T00:00:00,A,1799,ERRO
2023-12-19T00:00:00,A,3055,OK
2023-12-12T00:00:00,A,2168,ERRO
2023-12-06T00:00:00,A,2160,ERRO
2023-12-01T00:00:00,A,1875,ERRO
2023-12-02T00:00:00,A,302,OK
2023-12-08T00:00:00,A,1518,ERRO
2023-12-29T00:00:00,A,1513,OK
2023-12-13T00:00:00,A,639,ERRO
2023-12-18T00:00:00,A,2132,ERRO
2023-12-20T00:00:00,A,633,ERRO
2023-12-16T00:00:00,A,297,OK
2023-12-07T00:00:00,A,5849,ERRO
2023-12-02T00:00:00,A,670,ERRO
2023-12-08T00:00:00,A,4511,ERRO
2023-12-05T00:00:00,A,2,ERRO
2023-12-08T00:00:00,A,1,ERRO
2023-12-12T00:00:00,A,2,ERRO
2023-12-26T00:00:00,A,1,ERRO
2023-12-14T00:00:00,A,1,ERRO
2023-12-29T00:00:00,A,1,ERRO
2023-12-20T00:00:00,A,1,ERRO
2023-12-20T00:00:00,A,1,ERRO
2023-12-19T00:00:00,A,1,OK
2023-12-12T00:00:00,A,3,ERRO
2023-12-19T00:00:00,A,1,ERRO
2023-12-14T00:00:00,A,9,ERRO
2023-12-12T00:00:00,A,1,OK
2023-12-13T00:00:00,A,4,ERRO
2023-12-08T00:00:00,A,1,ERRO
2023-12-11T00:00:00,A,1,ERRO
2023-12-01T00:00:00,A,1,OK
2023-12-21T00:00:00,A,1,OK
2023-12-01T00:00:00,A,3,ERRO
2023-12-21T00:00:00,A,1,ERRO
2023-12-13T00:00:00,A,2,OK
2023-12-14T00:00:00,A,3,OK
2023-12-18T00:00:00,A,1,ERRO
2023-12-18T00:00:00,A,1,OK
2023-12-21T00:00:00,A,3,ERRO
2023-12-22T00:00:00,A,3,ERRO
2023-12-07T00:00:00,A,2,ERRO
2023-12-18T00:00:00,A,2,ERRO
2023-12-15T00:00:00,A,2,ERRO
2023-12-12T00:00:00,A,3,ERRO
2023-12-08T00:00:00,A,3,OK
2023-12-11T00:00:00,A,3,ERRO
2023-12-08T00:00:00,A,3,ERRO
2023-12-27T00:00:00,A,9,ERRO
2023-12-04T00:00:00,A,6,ERRO
2023-12-14T00:00:00,A,6,ERRO
2023-12-12T00:00:00,A,1,ERRO
2023-12-25T00:00:00,A,1,ERRO
2023-12-17T00:00:00,A,3,ERRO
2023-12-09T00:00:00,A,2,ERRO
2023-12-03T00:00:00,A,2,ERRO
2023-12-30T00:00:00,A,6,ERRO
2023-12-23T00:00:00,A,5,ERRO
2023-12-16T00:00:00,A,4,ERRO
2023-12-10T00:00:00,A,7,ERRO
2023-12-02T00:00:00,A,11,ERRO
2023-12-22T00:00:00,A,21,ERRO
2023-12-29T00:00:00,A,28,ERRO
2023-12-20T00:00:00,A,35,ERRO
2023-12-08T00:00:00,A,37,ERRO
2023-12-26T00:00:00,A,33,ERRO
2023-12-01T00:00:00,A,35,ERRO
2023-12-13T00:00:00,A,35,ERRO
2023-12-12T00:00:00,A,40,ERRO
2023-12-11T00:00:00,A,37,ERRO
